Make,Model,Year Range,PCD,Center Bore,R12,R13,R14,R15,R16,R17,R18,R19,R20,URL
bmw,5 Serie E39,1995 - 2003,5x120,74.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/5%20Serie%20E39%20(1995%20-%202003).html
bmw,5 Serie E60,2003 - 2010,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/5%20Serie%20E60%20(2003%20-%202010).html
bmw,5 Serie E61,2004 - 2010,5x120,72.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/BMW/5%20Serie%20E61%20(2004%20-%202010).html
bmw,5 Serie F10,2010 - 2017,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/5%20Serie%20F10%20(2010%20-%202017).html
bmw,5 Serie F11,2010 - 2017,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/5%20Serie%20F11%20(2010%20-%202017).html
bmw,5 Serie G30-G31,2017 - 2024,5x112,66.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/5%20Serie%20G30-G31%20(2017%20-%202024).html
bmw,5 Serie GT F07,2009 - 2017,5x120,72.5,,,,,,,1,1,1,https://www.wheelfitment.eu/car/BMW/5%20Serie%20GT%20F07%20(2009%20-%202017).html
bmw,6 Serie E24,1976 - 1989,5x120,72.5,,,,,,,,,,https://www.wheelfitment.eu/car/BMW/6%20Serie%20E24%20(1976%20-%201989).html
bmw,6 Serie E63,2003 - 2010,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/6%20Serie%20E63%20(2003%20-%202010).html
bmw,6 Serie E64,2003 - 2010,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/6%20Serie%20E64%20(2003%20-%202010).html
bmw,6 Serie F12,2011 - 2018,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/6%20Serie%20F12%20(2011%20-%202018).html
bmw,6 Serie F13,2011 - 2018,5x120,72.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/BMW/6%20Serie%20F13%20(2011%20-%202018).html
bmw,6 Serie F14 Gran Coupe,2012 - 2020,5x120,72.5,,,,,,,1,1,1,https://www.wheelfitment.eu/car/BMW/6%20Serie%20F14%20Gran%20Coupe%20(2012%20-%202020).html
bmw,6 Serie G32,2018 - 2023,5x112,66.5,,,,,,,,,,https://www.wheelfitment.eu/car/BMW/6%20Serie%20G32%20(2018%20-%202023).html
bmw,7 Serie E23,1977 - 1986,5x120,72.5,,,,,,,,,,https://www.wheelfitment.eu/car/BMW/7%20Serie%20E23%20(1977%20-%201986).html
bmw,7 Serie E32,1986 - 1994,5x120,72.5,,,,,,,,,,https://www.wheelfitment.eu/car/BMW/7%20Serie%20E32%20(1986%20-%201994).html
bmw,7 Serie E38,1995 - 2001,5x120,72.5,,,,,,,,,,https://www.wheelfitment.eu/car/BMW/7%20Serie%20E38%20(1995%20-%202001).html
bmw,7 Serie E65,2001 - 2008,5x120,72.5,,,,,,,,,,https://www.wheelfitment.eu/car/BMW/7%20Serie%20E65%20(2001%20-%202008).html
